43.7-1.62i	6.794+17.88i	72.51+0.8931i	79.56-0.05188i
-0.1664+7.203e-07i	3.726+7.118i	148-0.3749i	147.6+0.6098i
-0.1634+0.001632i	4.581-0.209i	108.9+2.293i	105.4-0.1688i
-0.1634-0.001634i	3.204+1.176i	89.26+18.61i	89.42+21.01i
-0.1617-8.841e-06i	0.5611+4.854i	163.1-10.4i	178.8-25.31i
-0.162-4.767e-06i	10.04-6.562i	82.62-116i	98.11-38.35i
-0.1683-6.289e-06i	6.346+84.04i	87.98-53.94i	83.57-40.77i
-0.177-9.034e-06i	10.9-0.3541i	54.24-0.8739i	67.57+0.07282i
-0.1767+1.859e-07i	0.7199+2.684i	0.1916-27.21i	0.429-31.5i
-0.1764-1.181e-05i	0.6495-1.694i	119-0.1889i	124.2-1.135i
-0.1723+6.12e-06i	5.193-1.762i	90.22-0.6992i	91.77-2.03i
-0.1755+6.348e-07i	2.639-0.1098i	90.42-3.309i	90.21-2.216i
-0.1742-2.568e-05i	0.5159-1.3i	130.7-0.3511i	129+0.06293i
-0.1739+1.562e-07i	1.077-0.4839i	51.63-0.05518i	48.32+2.498i
-0.1738+1.393e-07i	1.222-2.713i	28.69+0.1038i	29.73+0.06499i
-0.1207-1.115e-05i	1.005+1.51i	157.6+45.38i	156.8+45.63i
-0.1217+2.467e-06i	0.245-1.304i	101.9+0.4509i	101.5+0.08407i
-0.1237+6.174e-07i	0.9019+0.6351i	90.93-25.18i	90.01-27.15i
-0.1603-9.569e-06i	0.6915+4.462i	91.91+44.41i	90.44+30.75i
-0.16-2.033e-09i	1.609+13.89i	2.222-125.5i	1.139-110.8i
-0.1583-3.632e-06i	6.381+0.288i	87.75+33.14i	89.14+26.36i
-0.1559+6.178e-06i	0.3557-3.198i	90.4-21.44i	90.16-15.15i
-0.1548+3.069e-07i	0.3994-2.455i	58.25+0.3163i	59.93+0.07589i
-0.154-0.0009843i	1.746+11.98i	87.38-5.261i	90.52+17.33i
-0.154+0.0009885i	0.7041+10.89i	85.81-25.7i	88.2-23.97i
-0.1469+1.955e-06i	1.511+6.868i	97.42+0.6354i	122+5.884i
-0.1513+1.424e-06i	6.298-63.55i	1.287+23.97i	7.035-69.99i
-0.1514+1.256e-06i	1.839+17.76i	171+37.1i	2.531-37.82i
-0.1524-8.902e-05i	175.2+16.44i	95.43-29.14i	88.84+10.37i
-0.1525+9.78e-05i	1.596+0.1519i	84.92+0.432i	85.76+0.1105i
-0.1444-1.488e-06i	1.842+0.0686i	176.3-0.163i	177.9-0.4517i
-0.1268-5.497e-07i	0.6262+0.8619i	105.1+0.01544i	103-0.002175i
-0.1285-2.519e-05i	0.156+3.049i	88.58-42.88i	89.87-43.36i
-0.14+3.913e-06i	2.765+0.5873i	109+0.2335i	106.7+0.1077i
-0.1392-4.833e-06i	1.319-0.3106i	77.97+0.4092i	70.99-0.08902i
-0.1364-2.938e-05i	8.232+0.5229i	89.78-0.4059i	88.41-0.07333i
-0.1374-0.0001115i	2.651-7.197i	1.787-54.44i	0.1138-44.31i
-0.1374+0.0001201i	0.246+2.447i	87.46+12.2i	88.96+5.09i
-0.1335+2.193e-05i	0.4246+7.384i	90.94+21.87i	91.81+28.51i
-0.1329+1.047e-06i	4.47-0.05576i	177.4-21.19i	177.6-19.57i
-0.1327+3.057e-06i	1.004+0.06467i	178.2+54.87i	179.2+49.01i
-0.1178+5.15e-06i	0.575-5.627i	74.27-1.466i	84.96-0.2633i
-0.1162-6.688e-07i	0.5234+8.776i	88.26-40.26i	89-29.77i
-0.1146-7.262e-06i	3.078+0.245i	74.98+42.59i	80.61+27.33i
-0.1129+7.213e-06i	1.821+23.14i	91.81+22.8i	98.82+40.06i
-0.1135-1.826e-05i	0.4029-1.455i	0.3884+18.58i	0.2367+19.4i
-0.1134+4.485e-06i	0.2906-0.9353i	1.986+35.75i	1.683+36.63i
-0.1139+2.656e-06i	0.1646-1.696i	88.06+1.613i	86.94+0.7842i
-0.1075+9.276e-06i	0.007295+1.283i	88.38+30.94i	89.56+28.93i
-0.1002+1.414e-06i	3.397+0.5255i	47-0.2831i	41.64-0.6092i
-0.101+2.177e-06i	1.084+0.3383i	90.26-11.84i	90.03-14.24i
-0.1006-1.765e-07i	0.0143-1.552i	113.2+0.9226i	70.65+0.02576i
-0.1062+4.132e-06i	176.9-0.6777i	86.09+1.595i	93.66-1.343i
-0.1057+2.486e-05i	0.871-0.1025i	84.9+0.2982i	93.01+0.1348i
-0.1045-3.965e-06i	167.5-0.7078i	40.69-3.124i	128.8-0.04878i
-0.1051-6.225e-08i	1.989-2.482i	39.92-0.4655i	34.24+0.04002i
-0.1049-3.886e-06i	5.525-0.9317i	81.54-0.925i	79.98-0.05994i
-0.09727+7.147e-06i	1.375-4.995i	95.2+1.609i	92.58+16.43i
-0.08576+2.611e-06i	12.91-12.83i	28.15-0.8406i	179.2-20.69i
-0.09419+7.132e-06i	164.6+10.04i	144.3+3.426i	44.95-7.272i
-0.09409-1.341e-05i	2.512+0.5129i	29.44+2.224i	26.8+0.7917i
-0.09285-1.344e-05i	1.403+1.737i	87.85+25.47i	90.43+28.09i
-0.08771+6.503e-06i	1.844+0.857i	1.518+96.98i	0.691-85.64i
