43.699-1.6198i,43.705-1.62i,43.71-1.6202i,43.716-1.6204i,43.721-1.6205i
-1.0566+2.5446e-05i,-1.0496-1.4264e-06i,-1.0565+2.3732e-05i,-1.05-1.46e-06i,-1.0502-1.4799e-06i
-1.0553-1.2617e-07i,-1.0497+4.0147e-08i,-1.0557-1.7941e-07i,-1.0501+4.4796e-08i,-1.0503+4.7948e-08i
-1.0495+3.8447e-08i,-1.0566+2.475e-05i,-1.0499+4.2234e-08i,-1.0566+2.2196e-05i,-1.0566+1.9978e-05i
-1.0454-6.9211e-10i,-1.0552+1.7389e-06i,-1.0459-7.5317e-10i,-1.0559-2.2248e-07i,-1.0561-2.8738e-07i
-1.0454-1.6695e-08i,-1.0555-1.4889e-07i,-1.0458-1.703e-08i,-1.0555+4.5754e-06i,-1.0557+7.0188e-06i
-0.87995-0.0010001i,-0.88006-0.0010001i,-0.88016-0.0010001i,-0.88026-0.0010001i,-0.88036-0.0010001i
-0.87185+1.9188e-05i,-0.87185+1.862e-05i,-0.87184+1.8087e-05i,-0.87183+1.7589e-05i,-0.87183+1.7121e-05i
-0.84296+7.0306e-05i,-0.84306+7.1566e-05i,-0.84315+7.2789e-05i,-0.84325+7.3975e-05i,-0.84334+7.5124e-05i
-0.83214-2.2129e-05i,-0.83242-2.0059e-05i,-0.83269-1.8284e-05i,-0.83295-1.6753e-05i,-0.83321-1.5424e-05i
-0.82951-0.00045965i,-0.82966-0.00046267i,-0.8298-0.00046536i,-0.82995-0.00046777i,-0.83009-0.00046995i
-0.81374+1.4916e-07i,-0.81388+1.5033e-07i,-0.81403+1.5151e-07i,-0.81417+1.527e-07i,-0.8143+1.5391e-07i
-0.80495-1.1198e-05i,-0.80314+3.3553e-07i,-0.80519-1.1665e-05i,-0.80531-1.1896e-05i,-0.80543-1.2126e-05i
-0.80304+3.3301e-07i,-0.80507-1.1432e-05i,-0.80325+3.379e-07i,-0.80335+3.4013e-07i,-0.80345+3.4223e-07i
-0.77135+7.952e-05i,-0.76366-1.2525e-05i,-0.77154+7.4243e-05i,-0.77164+7.1736e-05i,-0.65947+4.1877e-06i
-0.76393+0.00011374i,-0.76398+0.00012217i,-0.76403+0.00013683i,-0.76407+0.00016192i,-0.69319+0.00070662i
-0.7635-7.3097e-06i,-0.77145+7.6838e-05i,-0.76381-2.4073e-05i,-0.76396-4.615e-05i,-0.77173+6.9317e-05i
-0.75634+1.1548e-06i,-0.75648+1.093e-06i,-0.75662+1.0364e-06i,-0.75675+9.8505e-07i,-0.76414+0.00018586i
